,Период погашения кредиторской задолженности,Период оборота запасов,Период погашения дебиторской задолженности,Период оборота основных средств,Период оборота активов
1304,,,,,
1305,785.55,,770.0,,785.0
1306,23.5,1.5,34.0,,37.0
1307,,,,,
1308,,,,,
1309,,,,,
1310,,,,,
1311,,,,,
1312,,,,,
1313,,,,,
1314,,,,,
1315,,,,,
1316,,,,,
1317,,,,,
1318,,,,,
1319,230.85,9.0,254.0,137.7,401.0
1320,,,,,
1321,,,,,
1322,,,,,
1323,,,,,
1324,,,,,
1325,,,,,
1326,303.17,5.8,87.0,40.8,458.0
1327,,,,,
1328,,,,,
1329,18.65,,,,
1330,,,,,
1331,241.16,5.2,232.0,,256.0
1332,,,,,
1333,,,,,
1334,,,,,
1335,,,,,
1336,,,,,
1337,,,,,
1338,,,,,
1339,,,,,
1340,955.53,,190.0,878.4,1073.0
1341,,,,,
1342,,,,,
1343,,,,,
1344,,,,,
1345,,,,,
1346,,,,,
1347,,,,,
1348,,,,,
1349,,,,,
1350,134.35,105.5,113.0,82.4,309.0
1351,,,,,
1352,22.01,6.4,2.0,,30.0
1353,173.98,182.4,382.0,3.8,570.0
1354,,,,,
1355,,,,,
1356,,,,,
1357,,,,,
1358,,,,,
1359,,,,,
1360,111.26,60.7,50.0,31.9,159.0
1361,,,,,
1362,,,,,
1363,,,,,
1364,,,,,
1365,,,,,
1366,,,,,
1367,,,,,
1368,,,,,
1369,,,,,
1370,,,,,
1371,,,,,
1372,,688.3,311.0,,1015.0
1373,,,,,
1374,,,,,
1375,,,,,
1376,,,,,
1377,,,,,
1378,7367.88,,49.0,240.0,1135.0
1379,,,,,
1380,,,,,
1381,,,,,
1382,,,,,
1383,,,,,
1384,,6919.4,3503.0,,10543.0
1385,,,,,
1386,,,,,
1387,1407.11,59.2,788.0,886.5,1748.0
1388,,,,,
1389,,,,,
1390,,,,,
1391,,,,,
1392,,,,,
1393,,,,,
1394,,,,,
1395,,,,,
1396,,,,,
1397,,,,,
